Title,Company,Location,Job_type,Job_url,Salary,Work Location,Date Posted,Current Date,Job_id
QA/QC Analyst III - Stability Data Review,Actalent,"Bothell, WA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S0YT6CSQ7T2SWQ386,,On-site,2024-01-28,2024-01-28,J3S0YT6CSQ7T2SWQ386
Senior QC Analyst,Actalent,"Boulder, CO (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N0SK667LF64ZFMY95,,On-site,2024-01-28,2024-01-28,J3N0SK667LF64ZFMY95
Research Associate I,Actalent,"Bothell, WA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W6T477FBKKXYLC6PX,,On-site,2024-01-26,2024-01-28,J3W6T477FBKKXYLC6PX
Investment Analyst,Kforce Finance and Accounting,"Newark, DE (Hybrid)",Contractor,https://www.careerbuilder.com/job/J3W2716X4T4VFVNRM5T,$25.00 - $28.00/Hour,Hybrid,2024-01-27,2024-01-28,J3W2716X4T4VFVNRM5T
Financial Analyst,Kforce Finance and Accounting,"Work From Home, CA (Remote)",Contractor,https://www.careerbuilder.com/job/J3M49T66B8WDMSZW122,$38.00 - $44.00/Hour,Remote,2024-01-25,2024-01-28,J3M49T66B8WDMSZW122
Business Analyst,Kforce Finance and Accounting,"Plano, TX (Hybrid)",Contractor,https://www.careerbuilder.com/job/J3Q2L06CPYGFD1KQ8LZ,$35.00 - $37.00/Hour,Hybrid,2024-01-20,2024-01-28,J3Q2L06CPYGFD1KQ8LZ
Analytics Product Owner,Genesis10,"New York, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S3NQ6B995ZVWVKMDB,,On-site,2024-01-27,2024-01-28,J3S3NQ6B995ZVWVKMDB
Business Analyst - Senior,Genesis10,"Franklin, WI (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T1XP66XTYBW5QZMF2,$35.00 - $40.00/Hour,On-site,2024-01-26,2024-01-28,J3T1XP66XTYBW5QZMF2
Insights Analyst,Genesis10,"Sunnyvale, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T2G56S5TH9M18M08B,$40.35 - $66.34/Hour,On-site,2024-01-20,2024-01-28,J3T2G56S5TH9M18M08B
Inventory Analyst I,"Integrated Resources, Inc","Dubuque, IA (Onsite)",Contractor,https://www.careerbuilder.com/job/JDD0Q5722G15FPZK6GF,,On-site,2024-01-27,2024-01-28,JDD0Q5722G15FPZK6GF
Project Coordinator,"Integrated Resources, Inc","Naperville, IL (Hybrid)",Contractor,https://www.careerbuilder.com/job/JCL0GJ6KH2TCD4S17K6,,Hybrid,2024-01-25,2024-01-28,JCL0GJ6KH2TCD4S17K6
Senior Financial Analyst,"Integrated Resources, Inc","Boston, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J317HK6R8HMGZFNCW49,,On-site,2024-01-19,2024-01-28,J317HK6R8HMGZFNCW49
Data Analyst II,"TalentBurst, Inc.","Philadelphia, PA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R0K46TH26YNPC365B,$37.00 - $40.00/Hour,On-site,2024-01-26,2024-01-28,J3R0K46TH26YNPC365B
Call Center Performance Analyst​,"TalentBurst, Inc.","Westwood, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S8CR71CGZZXX2W6SR,$27.00 - $29.00/Hour,On-site,2024-01-24,2024-01-28,J3S8CR71CGZZXX2W6SR
Manager of Accounts Receivable Analysis,"TalentBurst, Inc.","Philadelphia, PA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q04Y6S5RPW9D2CK73,$35.00 - $40.00/Hour,On-site,2024-01-02,2024-01-28,J3Q04Y6S5RPW9D2CK73
Business Analyst,Kforce Technology,"Sarasota, FL (Hybrid)",Contractor,https://www.careerbuilder.com/job/J3N3T877X3V7D9ZB4VH,$30.00 - $38.00/Hour,Hybrid,2024-01-26,2024-01-28,J3N3T877X3V7D9ZB4VH
Business Data Analyst I,Kforce Technology,"Work From Home, CA (Remote)",Contractor,https://www.careerbuilder.com/job/J3V1K66HNTT06W6CT8M,$59.00 - $69.00/Hour,Remote,2024-01-26,2024-01-28,J3V1K66HNTT06W6CT8M
Business Analyst II,Kforce Technology,"Work From Home, NJ (Remote)",Contractor,https://www.careerbuilder.com/job/J3Q6GP6NBG4FGHV35BV,$25.00 - $33.00/Hour,Remote,2024-01-26,2024-01-28,J3Q6GP6NBG4FGHV35BV
Portfolio Accounting Analyst 2,Yoh,"Boston, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T6GZ77LS41G3S6RGT,$40.00 - $45.00/Hour,On-site,2024-01-26,2024-01-28,J3T6GZ77LS41G3S6RGT
Senior Systems Analyst with SQL - investor support - RTH,Yoh,"Boston, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S85X6GKL9J2XJ9158,$55.00 - $70.00/Hour,On-site,2024-01-25,2024-01-28,J3S85X6GKL9J2XJ9158
Power BI Developer,Yoh,"Culver City, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R5BK72HH4JQRVXP2C,$0.00 - $65.00/Hour,On-site,2024-01-19,2024-01-28,J3R5BK72HH4JQRVXP2C
Onsite Privacy Analyst 29617,Solving IT,"Chicago, IL (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W7PN773QMDY6HHPV9,,On-site,2024-01-26,2024-01-28,J3W7PN773QMDY6HHPV9
Hybrid Project Coordinator 29616,Solving IT,"Naperville, IL (Hybrid)",Contractor,https://www.careerbuilder.com/job/J3T1J264CCPY3Q0L76F,,Hybrid,2024-01-25,2024-01-28,J3T1J264CCPY3Q0L76F
Remote Contract Sr. Procurement Analyst 29375,Solving IT,USA (Remote),Contractor,https://www.careerbuilder.com/job/J3P56T61BCK8GMPRZCG,,Remote,2024-01-24,2024-01-28,J3P56T61BCK8GMPRZCG
Accounting Operations Analyst,Hired by Matrix,"Winston-Salem, NC (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P7WR6Z1BLRQZ579HJ,$25.00 - $29.00/Hour,On-site,2024-01-25,2024-01-28,J3P7WR6Z1BLRQZ579HJ
Business Analyst,Hired by Matrix,"BOWLING GREEN, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T03Q70W72YYVQ1W2V,$36.66 - $39.27/Hour,On-site,2024-01-25,2024-01-28,J3T03Q70W72YYVQ1W2V
Finance Analyst,Hired by Matrix,"Harrison, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V3T36420WX0RTLHBN,$35.00 - $37.00/Hour,On-site,2024-01-22,2024-01-28,J3V3T36420WX0RTLHBN
SQL Analyst,A-Line Staffing Solutions,USA (Remote),Contractor,https://www.careerbuilder.com/job/J2R89W62XLQ6VJ1V2ZW,$24.65/Hour,Remote,2024-01-25,2024-01-28,J2R89W62XLQ6VJ1V2ZW
Business Analyst (Remote),A-Line Staffing Solutions,USA (Remote),Contractor,https://www.careerbuilder.com/job/J2N1WR5W1GCLHXHHGWK,,Remote,2024-01-11,2024-01-28,J2N1WR5W1GCLHXHHGWK
SQL Data Analyst (Remote),A-Line Staffing Solutions,USA (Remote),Contractor,https://www.careerbuilder.com/job/J2P2TN706NJN4KV4SMX,,Remote,2024-01-10,2024-01-28,J2P2TN706NJN4KV4SMX
Data Consultant with Alteryx x5,Dexian - Signature Consultants,"Charlotte, NC (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R2NK6JCXK9G2X59HD,,On-site,2024-01-25,2024-01-28,J3R2NK6JCXK9G2X59HD
IT Business Analyst IV,Dexian - Signature Consultants,"Glen Allen, VA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V2K16S1PYD7Q7BXK5,,On-site,2024-01-10,2024-01-28,J3V2K16S1PYD7Q7BXK5
Business Analyst,ConsultNet,"Phoenix, AZ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q4CT6KTFY0M01HNPR,$40.00 - $55.00/Hour,On-site,2024-01-25,2024-01-28,J3Q4CT6KTFY0M01HNPR
"Quantitative Product Analyst Fixed Income, ClariFI",ConsultNet,"New York, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W7C563N2JG3DRMB46,,On-site,2024-01-10,2024-01-28,J3W7C563N2JG3DRMB46
"Jr Data Analyst, Risk Monitoring",ConsultNet,"New York, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T1376P0QW592SW3BR,$24.00 - $27.00/Hour,On-site,2024-01-08,2024-01-28,J3T1376P0QW592SW3BR
Power BI Developer,Nesco Resource,"Dallas, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N6S267WTLC80GWGYC,$60.00/Hour,On-site,2024-01-25,2024-01-28,J3N6S267WTLC80GWGYC
Financial Analyst (COGS expertise),Nesco Resource,"Beverly, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M7VH76V2ZCWZLJRDH,$40.00 - $45.00/Hour,On-site,2024-01-24,2024-01-28,J3M7VH76V2ZCWZLJRDH
Payroll Systems Analyst,Nesco Resource,"Brentwood, TN (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S42Q6P8QSKTJMGGH3,$35.30/Hour,On-site,2024-01-20,2024-01-28,J3S42Q6P8QSKTJMGGH3
Phlebotomist II,Innova Solutions,"Brookeville, MD (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S4ZC6VXFHRD4PPGT3,$25.00 - $26.00/Hour,On-site,2024-01-25,2024-01-28,J3S4ZC6VXFHRD4PPGT3
Travel Technician - 1st shift,Innova Solutions,"Tulsa, OK (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S4YT6FN1D1B5XRZ7S,$58.00 - $60.00/Hour,On-site,2024-01-24,2024-01-28,J3S4YT6FN1D1B5XRZ7S
Clinical Trial Supplies Manager,Innova Solutions,"Jersey City, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N7Y067KMVNKLQBSHK,$68.10 - $69.56/Hour,On-site,2024-01-24,2024-01-28,J3N7Y067KMVNKLQBSHK
Quality Assurance Analyst,TALENT Software Services,"Saint Paul, MN (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S70Q626F8F1P1TJ7T,$55.00 - $60.00/Hour,On-site,2024-01-24,2024-01-28,J3S70Q626F8F1P1TJ7T
Quality Assurance Analyst,TALENT Software Services,"Saint Paul, MN (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S1GL761NV5D1PJ0S8,$60.00 - $65.00/Hour,On-site,2024-01-12,2024-01-28,J3S1GL761NV5D1PJ0S8
Business Analyst,TALENT Software Services,"Saint Paul, MN (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S29L6W6L43XQ77X96,$55.00 - $65.00/Hour,On-site,2024-01-12,2024-01-28,J3S29L6W6L43XQ77X96
Project Analyst,Rose International,"Redlands, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J2R38H6FLCV0325Y4NH,$30.00 - $35.00/Hour,On-site,2024-01-24,2024-01-28,J2R38H6FLCV0325Y4NH
Inventory Analyst,Rose International,"Dubuque, IA (Onsite)",Contractor,https://www.careerbuilder.com/job/JDH22R6ZWBXG3LS54F8,$17.00 - $19.59/Hour,On-site,2024-01-22,2024-01-28,JDH22R6ZWBXG3LS54F8
Business Systems Analyst,Rose International,"San Diego, CA (Hybrid)",Contractor,https://www.careerbuilder.com/job/J2Z3ZH6ZH2F2LP9GJCV,$50.00 - $55.28/Hour,Hybrid,2024-01-19,2024-01-28,J2Z3ZH6ZH2F2LP9GJCV
Programmer Analyst,Lighthouse Professional Services,"Newburyport, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N10B6SN3BHX8H0Q64,,On-site,2024-01-24,2024-01-28,J3N10B6SN3BHX8H0Q64
Programmer Analyst,Lighthouse Professional Services,"Newburyport, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R7YK6JGJ1GRMZ4XP5,,On-site,2024-01-24,2024-01-28,J3R7YK6JGJ1GRMZ4XP5
Clinical Lab Analyst,Actalent,"Ankeny, IA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V6156QB0STLGGYFB3,,On-site,2024-01-25,2024-01-28,J3V6156QB0STLGGYFB3
